custid,gender,age,age_cat,debtinc,card,carditems,cardspent,cardtype,creddebt,commute,commutetime,card2,card2items,card2spent,card2type,marital,homeown,hometype,cars,carown,region,ed_cat,ed_years,job_cat,employ_years,emp_cat,retire,annual_income,inc_cat
3964-QJWTRG-NPN,Female,20,18-24,11.1,Mastercard,5,81.66,None,1.2,Walk,22,Other,4,67.8,Platinum,Unmarried,Rent,Multiple-Family,2,Own,Zone 1,Some college,15,Managerial and Professional,0,Less than 2,No,31000.00,$25 - $49
0648-AIPJSP-UVM,Male,22,18-24,18.6,Visa,5,42.6,Other,1.22,Car,29,Discover,2,34.94,None,Unmarried,Own,Condominium/Townhouse,2,Own,Zone 5,College degree,17,Sales and Office,0,Less than 2,No,15000.00,Under $25
5195-TLUDJE-HVO,Female,67,>65,9.9,Visa,9,184.22,None,0.93,Bus,24,Discover,7,175.75,None,Married,Own,Single-family,3,Own,Zone 3,High school degree,14,Sales and Office,16,More than 15,No,35000.00,$25 - $49
4459-VLPQUH-3OL,Male,23,18-24,5.7,Visa,17,340.99,None,0.02,Car,38,Mastercard,1,18.42,Gold,Married,Own,Condominium/Townhouse,3,Own,Zone 4,Some college,16,Sales and Office,0,Less than 2,No,20000.00,Under $25
8158-SMTQFB-CNO,Male,26,25-34,1.7,Discover,8,255.1,Gold,0.21,Other public transit,32,American Express,7,252.73,Platinum,Married,Rent,Multiple-Family,1,Lease,Zone 2,Some college,16,Sales and Office,1,Less than 2,No,23000.00,Under $25
9662-FUSYIM-1IV,Male,64,50-64,5.6,Visa,11,228.27,Other,1.06,Walk,23,Mastercard,0,0,Platinum,Unmarried,Own,Single-family,0,N/A,Zone 4,College degree,17,Service,22,More than 15,No,107000.00,$75 - $124
7432-QKQFJJ-K72,Female,52,50-64,1.9,Other,20,822.32,Platinum,0.5,Bus,32,Visa,5,130.14,Platinum,Unmarried,Rent,Condominium/Townhouse,2,Own,Zone 2,High school degree,14,Managerial and Professional,10,6 to 10,No,77000.00,$75 - $124
8959-RZWRHU-ST8,Female,44,35-49,14.4,American Express,6,592.7,None,5.95,Train/Subway,31,Mastercard,7,712.1,None,Married,Own,Condominium/Townhouse,1,Own,Zone 3,Some college,16,Managerial and Professional,11,11 to 15,No,97000.00,$75 - $124
9124-DZALHM-S6I,Female,66,>65,2.6,Mastercard,12,326.59,Other,0.1,Bus,25,Visa,6,141.24,Other,Unmarried,Own,Single-family,1,Own,Zone 2,High school degree,12,Managerial and Professional,15,11 to 15,Yes,16000.00,Under $25
3512-MUWBGY-52X,Male,47,35-49,4.1,Other,11,199.64,Other,1.77,Car,29,Visa,5,111.17,Gold,Unmarried,Own,Single-family,4,Own,Zone 2,Did not complete high school,11,"Operation, Fabrication, General Labor",19,More than 15,No,84000.00,$75 - $124
5621-QSZPSF-NF2,Female,59,50-64,8.6,Discover,11,488.97,Platinum,1.36,Car,17,American Express,7,322.07,None,Unmarried,Rent,Multiple-Family,3,Own,Zone 4,College degree,19,Managerial and Professional,8,6 to 10,No,47000.00,$25 - $49
8241-PWPONH-62O,Female,33,25-34,0.9,Mastercard,14,338.26,Gold,0.13,Bus,28,Visa,2,55.17,Gold,Married,Rent,Multiple-Family,2,Own,Zone 2,Did not complete high school,8,Sales and Office,4,2 to 5,No,19000.00,Under $25
8795-FYOXCT-P09,Male,44,35-49,2.8,Discover,12,534.36,Other,1.25,Car,25,American Express,5,198.39,Platinum,Unmarried,Own,Condominium/Townhouse,1,Own,Zone 5,Did not complete high school,10,Managerial and Professional,12,11 to 15,No,73000.00,$50 - $74
1705-NMIQNO-IC4,Male,58,50-64,10.5,Discover,10,593.5,Platinum,1.92,Carpool,16,Mastercard,5,384.94,Other,Unmarried,Own,Mobile Home,0,N/A,Zone 3,College degree,18,Managerial and Professional,3,2 to 5,No,63000.00,$50 - $74
9205-PAZEXY-90Q,Female,72,>65,9.8,Mastercard,12,233.17,Gold,1.28,Telecommute,32,Discover,3,39.93,Other,Married,Own,Single-family,1,Own,Zone 2,Post-undergraduate degree,20,Agricultural and Natural Resources,27,More than 15,Yes,17000.00,Under $25
4225-PZZDIY-IBH,Female,66,>65,9.3,Mastercard,9,297.47,Platinum,0.93,Car,14,Discover,4,98.65,Gold,Married,Rent,Multiple-Family,3,Own,Zone 3,High school degree,13,"Operation, Fabrication, General Labor",31,More than 15,Yes,23000.00,Under $25
0758-EQEGIQ-3OF,Female,57,50-64,9.5,Discover,14,305.94,None,1.8,Car,19,Mastercard,4,96.23,Gold,Married,Own,Single-family,2,Own,Zone 1,College degree,17,Agricultural and Natural Resources,24,More than 15,No,171000.00,$125+
0649-TBFJFL-QU4,Male,63,50-64,10.7,Mastercard,10,495.75,Platinum,13.11,Car,29,Visa,10,798.31,Platinum,Married,Own,Condominium/Townhouse,3,Own,Zone 5,High school degree,14,"Operation, Fabrication, General Labor",29,More than 15,No,424000.00,$125+
2228-KOLOPU-FY3,Female,28,25-34,4.8,Visa,17,442.09,Gold,0.19,Bus,30,Mastercard,7,144.69,Platinum,Married,Own,Single-family,0,N/A,Zone 5,Did not complete high school,11,Managerial and Professional,4,2 to 5,No,23000.00,Under $25
3853-NVDCOJ-TIN,Female,78,>65,15.2,Visa,1,8.11,Platinum,0.69,Carpool,23,Mastercard,0,0,Gold,Unmarried,Rent,Single-family,2,Own,Zone 1,Some college,16,Managerial and Professional,10,6 to 10,Yes,22000.00,Under $25
0765-UXAFYM-PDR,Male,61,50-64,10.1,American Express,8,271.98,Other,1.23,Car,34,Discover,7,240.38,Gold,Married,Rent,Multiple-Family,4,Lease,Zone 3,Some college,16,Managerial and Professional,4,2 to 5,No,35000.00,$25 - $49
9937-SFPLRK-H9Y,Male,70,>65,9.3,American Express,8,267.71,None,1.2,Car,29,Discover,3,79.54,Gold,Married,Rent,Multiple-Family,5,Own,Zone 2,College degree,17,Sales and Office,2,2 to 5,No,28000.00,$25 - $49
0712-WQXYVV-HUP,Male,61,50-64,21.5,American Express,10,245.03,None,0.57,Bus,25,Mastercard,4,63.63,Platinum,Unmarried,Own,Condominium/Townhouse,3,Own,Zone 4,High school degree,14,"Operation, Fabrication, General Labor",18,More than 15,Yes,12000.00,Under $25
6441-FJUWZQ-7G8,Male,37,35-49,15.7,Other,17,556.61,None,3.32,Train/Subway,29,Discover,7,187.47,Gold,Unmarried,Rent,Multiple-Family,0,N/A,Zone 3,Did not complete high school,11,Managerial and Professional,2,2 to 5,No,29000.00,$25 - $49
7634-AVNEXZ-7AG,Male,39,35-49,11.3,Discover,12,453.74,Other,4.69,Car,32,Mastercard,5,245.14,Gold,Married,Own,Single-family,2,Own,Zone 1,High school degree,12,Managerial and Professional,5,2 to 5,No,130000.00,$125+
2041-PNMGHX-TXJ,Female,73,>65,14.8,Visa,6,212.67,Gold,1.16,Car,27,Mastercard,2,80.44,Gold,Married,Rent,Multiple-Family,1,Own,Zone 4,High school degree,14,Service,28,More than 15,Yes,69000.00,$50 - $74
4626-BQZAUJ-V9K,Female,26,25-34,11.7,Discover,14,447.67,None,1.3,Car,27,American Express,5,101,Gold,Married,Rent,Multiple-Family,4,Lease,Zone 5,Some college,16,Sales and Office,0,Less than 2,No,24000.00,Under $25
2969-ODPCDX-5DC,Female,24,18-24,14,Discover,11,279.95,None,1.39,Telecommute,14,Mastercard,1,24.55,Platinum,Unmarried,Own,Single-family,0,N/A,Zone 2,College degree,17,"Operation, Fabrication, General Labor",1,Less than 2,No,29000.00,$25 - $49
4974-FUBHDF-Z7L,Female,77,>65,10.2,Visa,10,194.95,None,0.26,Car,21,Discover,5,107.06,Other,Unmarried,Own,Mobile Home,2,Own,Zone 3,Some college,15,Managerial and Professional,26,More than 15,Yes,11000.00,Under $25
2525-OSULNV-0KS,Male,36,35-49,15.5,American Express,11,300.97,None,0.41,Car,24,Visa,6,178.9,None,Unmarried,Own,Condominium/Townhouse,3,Own,Zone 5,College degree,19,Managerial and Professional,3,2 to 5,No,30000.00,$25 - $49
4973-FHPBZQ-AAA,Male,55,50-64,6.5,Visa,11,394.02,Other,0.03,Car,25,Discover,3,71.41,Platinum,Unmarried,Own,Condominium/Townhouse,4,Own,Zone 3,High school degree,14,Service,23,More than 15,No,80000.00,$75 - $124
4726-RQKGNB-WAK,Female,60,50-64,7.8,Discover,9,112.47,Gold,1.21,Car,26,Visa,2,44.52,Other,Married,Rent,Multiple-Family,2,Own,Zone 2,College degree,18,Managerial and Professional,13,11 to 15,No,51000.00,$50 - $74
6592-QBSENI-6Y4,Female,59,50-64,2.8,Visa,11,342.17,None,0.26,Bus,15,American Express,4,101.97,Gold,Married,Rent,Multiple-Family,0,N/A,Zone 1,Did not complete high school,8,Sales and Office,4,2 to 5,No,30000.00,$25 - $49
5538-DRGHIE-PF0,Male,28,25-34,8.2,Mastercard,10,381.14,None,0.15,Car,23,Other,2,73.22,Other,Married,Rent,Single-family,3,Own,Zone 1,Did not complete high school,11,Sales and Office,1,Less than 2,No,17000.00,Under $25
3550-PQUPPM-42T,Male,53,50-64,9.9,Discover,11,445.9,Gold,9.59,Telecommute,23,American Express,3,198.77,Other,Married,Own,Single-family,0,N/A,Zone 3,Post-undergraduate degree,20,Sales and Office,11,11 to 15,No,141000.00,$125+
9809-NBCXAS-1RB,Male,36,35-49,8.3,Discover,13,461.15,None,0.89,Car,26,American Express,9,305.7,None,Unmarried,Rent,Multiple-Family,3,Own,Zone 4,High school degree,12,Sales and Office,5,2 to 5,No,45000.00,$25 - $49
8733-EDAXNE-8DV,Male,47,35-49,13.7,American Express,8,416.12,Other,3.3,Walk,21,Discover,8,558.23,Gold,Married,Own,Single-family,1,Own,Zone 3,Post-undergraduate degree,20,"Precision Production, Craft, Repair",17,More than 15,No,137000.00,$125+
8170-YHWTSQ-825,Male,75,>65,2.4,Discover,17,197.27,Platinum,0.04,Train/Subway,24,Visa,4,65.47,Gold,Unmarried,Rent,Multiple-Family,1,Own,Zone 5,Did not complete high school,11,Sales and Office,2,2 to 5,Yes,10000.00,Under $25
1144-GVCZDP-8DV,Female,49,35-49,9.2,Discover,4,78.22,Other,1.44,Train/Subway,19,Visa,1,21.39,Platinum,Married,Own,Single-family,1,Own,Zone 2,Post-undergraduate degree,22,Managerial and Professional,3,2 to 5,No,73000.00,$50 - $74
8846-JJEGFU-I69,Female,59,50-64,6,Discover,9,283.59,Gold,0.59,Car,16,Mastercard,3,155.47,Platinum,Unmarried,Rent,Multiple-Family,1,Own,Zone 1,High school degree,13,Managerial and Professional,15,11 to 15,No,63000.00,$50 - $74
4226-TEHKPJ-GKG,Female,55,50-64,5.1,American Express,11,501.11,None,1.09,Car,21,Mastercard,2,63.31,None,Married,Own,Single-family,2,Own,Zone 1,High school degree,12,Service,10,6 to 10,No,50000.00,$50 - $74
9714-LCYJJB-SCS,Male,25,25-34,10.5,Discover,11,391.97,Other,1.22,Walk,15,Visa,4,166.43,None,Unmarried,Rent,Multiple-Family,0,N/A,Zone 5,High school degree,14,Managerial and Professional,1,Less than 2,No,50000.00,$50 - $74
2866-TTOTKL-TA7,Male,78,>65,9.8,Visa,5,163.72,Platinum,1.64,Bus,34,Other,7,227.41,None,Married,Rent,Condominium/Townhouse,2,Own,Zone 5,Did not complete high school,11,Service,30,More than 15,Yes,28000.00,$25 - $49
7217-UECHSF-PCR,Female,48,35-49,18.7,Other,11,268.09,Platinum,2.05,Car,23,Mastercard,5,83.11,Gold,Unmarried,Own,Condominium/Townhouse,2,Own,Zone 1,Did not complete high school,11,Sales and Office,2,2 to 5,No,23000.00,Under $25
0197-AMEAYR-851,Male,47,35-49,2.2,American Express,14,333.68,None,0.1,Carpool,22,Discover,5,136.67,Other,Married,Rent,Multiple-Family,1,Own,Zone 5,College degree,19,Sales and Office,1,Less than 2,No,75000.00,$75 - $124
1743-WAHPKT-DNW,Male,75,>65,3.3,American Express,10,453.52,Gold,0.39,Bus,20,Mastercard,6,163.55,Gold,Married,Own,Condominium/Townhouse,1,Own,Zone 5,Did not complete high school,10,Sales and Office,11,11 to 15,No,28000.00,$25 - $49
9840-VEWFQZ-W5V,Female,43,35-49,12.6,Discover,14,272.44,None,2.12,Car,22,American Express,9,253.58,Gold,Married,Own,Condominium/Townhouse,1,Own,Zone 3,College degree,19,Sales and Office,4,2 to 5,No,33000.00,$25 - $49
6203-JLXPIJ-YQZ,Male,45,35-49,13.6,Mastercard,9,283.72,Gold,0.99,Walk,39,Visa,2,54.74,Platinum,Married,Own,Single-family,1,Own,Zone 5,Did not complete high school,10,"Operation, Fabrication, General Labor",15,11 to 15,No,44000.00,$25 - $49
